,learning_rewards,learning_steps,learning_discounted_rewards,learning_success,learning_collision,learning_fell_into_cliff
0,-105,6,-100.0,0,3,1
1,-107,8,-100.0,0,1,1
2,-30,30,-26.029962661171947,0,10,0
3,-114,15,-100.0,0,6,1
4,-30,30,-26.029962661171947,0,7,0
5,-113,14,-100.0,0,4,1
6,-30,30,-26.029962661171947,0,4,0
7,-30,30,-26.029962661171947,0,7,0
8,-106,7,-100.0,0,4,1
9,-30,30,-26.029962661171947,0,6,0
10,-117,18,-100.0,0,4,1
11,-30,30,-26.029962661171947,0,7,0
12,-30,30,-26.029962661171947,0,5,0
13,-113,14,-100.0,0,3,1
14,-30,30,-26.029962661171947,0,9,0
15,-122,23,-99.99999999999997,0,2,1
16,-119,20,-100.0,0,4,1
17,-30,30,-26.029962661171947,0,6,0
18,-102,3,-99.99999999999999,0,2,1
19,-30,30,-26.029962661171947,0,7,0
20,-30,30,-26.029962661171947,0,8,0
21,-30,30,-26.029962661171947,0,4,0
22,-30,30,-26.029962661171947,0,1,0
23,-100,1,-100.0,0,0,1
24,-127,28,-99.99999999999997,0,3,1
25,-30,30,-26.029962661171947,0,7,0
26,-120,21,-99.99999999999997,0,2,1
27,-115,16,-100.0,0,4,1
28,-30,30,-26.029962661171947,0,4,0
29,-30,30,-26.029962661171947,0,8,0
30,-30,30,-26.029962661171947,0,6,0
31,-30,30,-26.029962661171947,0,4,0
32,-30,30,-26.029962661171947,0,8,0
33,-30,30,-26.029962661171947,0,4,0
34,-30,30,-26.029962661171947,0,6,0
35,-105,6,-100.0,0,3,1
36,-30,30,-26.029962661171947,0,2,0
37,-30,30,-26.029962661171947,0,2,0
38,-117,18,-100.0,0,1,1
39,-30,30,-26.029962661171947,0,8,0
40,-30,30,-26.029962661171947,0,1,0
41,-129,30,-99.99999999999996,0,7,1
42,-128,29,-99.99999999999997,0,3,1
43,-30,30,-26.029962661171947,0,5,0
44,-30,30,-26.029962661171947,0,4,0
45,-111,12,-100.0,0,3,1
46,-129,30,-99.99999999999996,0,4,1
47,-30,30,-26.029962661171947,0,3,0
48,-119,20,-100.0,0,4,1
49,-30,30,-26.029962661171947,0,4,0
50,-106,7,-100.0,0,0,1
51,-30,30,-26.029962661171947,0,2,0
52,-30,30,-26.029962661171947,0,3,0
53,-30,30,-26.029962661171947,0,6,0
54,-30,30,-26.029962661171947,0,7,0
55,-30,30,-26.029962661171947,0,0,0
56,-30,30,-26.029962661171947,0,6,0
57,-30,30,-26.029962661171947,0,9,0
58,-30,30,-26.029962661171947,0,6,0
59,-30,30,-26.029962661171947,0,4,0
60,-126,27,-99.99999999999997,0,0,1
61,-30,30,-26.029962661171947,0,2,0
62,-30,30,-26.029962661171947,0,11,0
63,-30,30,-26.029962661171947,0,4,0
64,-30,30,-26.029962661171947,0,3,0
65,-30,30,-26.029962661171947,0,6,0
66,-30,30,-26.029962661171947,0,6,0
67,-100,1,-100.0,0,0,1
68,-30,30,-26.029962661171947,0,6,0
69,-30,30,-26.029962661171947,0,2,0
