,learning_rewards,learning_steps,learning_discounted_rewards,learning_success,learning_collision,learning_fell_into_cliff
0,-102.5,3.5,-58.33967454715979,0.0,0.5,1.0
1,-67.0,17.5,-21.413300896486085,0.0,7.5,0.5
2,-112.5,13.5,-52.272590658430694,0.0,3.0,1.0
3,-101.0,2.0,-78.2456,0.0,1.0,1.0
4,-115.0,16.0,-7.541743830484656,0.0,4.0,1.0
5,-101.0,2.0,-80.7206415968,0.0,1.0,1.0
6,-114.0,15.0,-26.50293458372844,0.0,0.5,1.0
7,-66.0,16.5,-32.91706794612629,0.0,5.0,0.5
8,-106.5,7.5,-22.39463790788416,0.0,2.5,1.0
9,-105.0,6.0,-34.272270167626225,0.0,0.5,1.0
10,-109.5,10.5,-27.195845852072896,0.0,0.5,1.0
11,-66.0,16.5,-32.91706794612629,0.0,3.5,0.5
12,-71.5,22.0,-6.060323395359967,0.0,3.0,0.5
13,-102.5,3.5,-54.950985522097746,0.0,0.0,1.0
14,-103.0,4.0,-49.9375161439598,0.0,1.0,1.0
15,-66.0,16.5,-32.91706794612629,0.0,5.0,0.5
16,-66.5,17.0,-26.426770274624033,0.0,3.5,0.5
17,-65.0,15.5,-52.19642634932629,0.0,2.5,0.5
18,-102.5,3.5,-58.33967454715979,0.0,1.5,1.0
19,-120.0,21.0,-5.01626817967405,0.0,5.5,1.0
20,-110.5,11.5,-13.526616698919469,0.0,3.0,1.0
21,-105.0,6.0,-55.81305094608767,0.0,1.0,1.0
22,-108.5,9.5,-33.91241164813645,0.0,2.5,1.0
23,-66.5,17.0,-26.426770274624033,0.0,4.5,0.5
24,-73.0,23.5,-5.161928276101438,0.0,5.5,0.5
25,-107.5,8.5,-53.19177005133645,0.0,1.5,1.0
26,-120.5,21.5,-6.5789632966147655,0.0,5.0,1.0
27,-100.0,1.0,-100.0,0.0,0.0,1.0
28,-104.0,5.0,-58.25694617744409,0.0,2.0,1.0
29,-102.0,3.0,-69.21687454715979,0.0,1.0,1.0
30,-108.5,9.5,-42.088301926775145,0.0,1.0,1.0
31,-100.5,1.5,-89.1228,0.0,0.5,1.0
32,-103.5,4.5,-46.06483164200087,0.0,2.5,1.0
33,-101.0,2.0,-80.7206415968,0.0,0.0,1.0
34,-105.5,6.5,-27.696901710756546,0.0,2.5,1.0
35,-111.0,12.0,-52.36055995956371,0.0,0.5,1.0
36,-69.5,20.0,-9.07455396577004,0.0,4.0,0.5
37,-66.5,17.0,-26.426770274624033,0.0,4.5,0.5
38,-112.5,13.5,-33.044070300924744,0.0,2.0,1.0
39,-101.0,2.0,-80.7206415968,0.0,1.0,1.0
40,-108.5,9.5,-52.79071975634903,0.0,0.5,1.0
41,-106.0,7.0,-31.108471541741494,0.0,1.0,1.0
42,-30.0,30.0,-4.392852698652579,0.0,5.0,0.0
43,-101.5,2.5,-74.23034392529775,0.0,0.5,1.0
44,-103.5,4.5,-60.04192624232848,0.0,2.5,1.0
45,-110.0,11.0,-52.47085794862387,0.0,5.0,1.0
46,-67.0,17.5,-21.413300896486085,0.0,0.5,0.5
47,-104.0,5.0,-43.07335326235568,0.0,0.0,1.0
48,-71.5,22.0,-6.060323395359967,0.0,3.5,0.5
49,-104.5,5.5,-56.87812761644375,0.0,0.5,1.0
50,-77.5,28.0,-4.469017007756982,0.0,4.0,0.5
51,-115.5,16.5,-14.625302323986373,0.0,1.5,1.0
52,-66.0,16.5,-32.91706794612629,0.0,3.5,0.5
53,-101.5,2.5,-74.23034392529775,0.0,0.0,1.0
54,-108.5,9.5,-42.088301926775145,0.0,1.0,1.0
55,-66.0,16.5,-32.91706794612629,0.0,1.5,0.5
56,-101.5,2.5,-69.8434415968,0.0,1.5,1.0
57,-115.5,16.5,-26.46238817496087,0.0,1.5,1.0
58,-71.0,21.5,-6.551233673023274,0.0,3.5,0.5
59,-65.0,15.5,-52.19642634932629,0.0,2.5,0.5
60,-102.0,3.0,-69.21687454715979,0.0,0.5,1.0
61,-101.0,2.0,-78.2456,0.0,1.0,1.0
62,-113.0,14.0,-41.39539065843069,0.0,0.5,1.0
63,-65.0,15.5,-52.19642634932629,0.0,2.5,0.5
64,-100.5,1.5,-89.1228,0.0,0.5,1.0
65,-102.0,3.0,-61.4412831936,0.0,0.0,1.0
66,-100.0,1.0,-100.0,0.0,0.0,1.0
67,-101.0,2.0,-80.7206415968,0.0,1.0,1.0
68,-101.0,2.0,-80.7206415968,0.0,0.0,1.0
69,-115.0,16.0,-9.286756664005951,0.0,2.5,1.0
70,-30.0,30.0,-4.392852698652579,0.0,6.5,0.0
71,-104.0,5.0,-39.57453397049861,0.0,2.0,1.0
72,-104.0,5.0,-43.07335326235568,0.0,2.0,1.0
73,-104.0,5.0,-58.25694617744409,0.0,0.0,1.0
74,-105.5,6.5,-37.59876921324375,0.0,2.0,1.0
75,-66.5,17.0,-26.426770274624033,0.0,6.0,0.5
76,-67.0,17.5,-21.413300896486085,0.0,2.0,0.5
77,-104.0,5.0,-39.57453397049861,0.0,2.0,1.0
78,-65.0,15.5,-52.19642634932629,0.0,1.5,0.5
79,-115.5,16.5,-8.221679993649875,0.0,1.5,1.0
80,-102.0,3.0,-69.21687454715979,0.0,1.0,1.0
81,-102.5,3.5,-54.950985522097746,0.0,0.0,1.0
82,-103.0,4.0,-62.35271166555568,0.0,0.0,1.0
83,-101.0,2.0,-80.7206415968,0.0,0.0,1.0
84,-127.0,28.0,-4.496746631348474,0.0,8.5,1.0
85,-117.5,18.5,-7.285072524684484,0.0,2.5,1.0
86,-112.5,13.5,-41.417546443073384,0.0,2.5,1.0
87,-109.5,10.5,-22.408644598496245,0.0,1.5,1.0
88,-112.0,13.0,-21.687732495783663,0.0,3.0,1.0
89,-104.0,5.0,-39.57453397049861,0.0,1.0,1.0
90,-104.5,5.5,-34.56106459236066,0.0,0.5,1.0
91,-102.0,3.0,-69.21687454715979,0.0,0.0,1.0
92,-109.0,10.0,-27.422113976634197,0.0,2.0,1.0
93,-71.0,21.5,-6.551233673023274,0.0,3.5,0.5
94,-116.5,17.5,-6.334754994657548,0.0,1.0,1.0
95,-105.0,6.0,-46.00092761644375,0.0,0.5,1.0
96,-101.0,2.0,-78.2456,0.0,1.0,1.0
97,-106.5,7.5,-53.86389704603368,0.0,1.0,1.0
98,-107.5,8.5,-24.207200628770895,0.0,2.0,1.0
99,-76.5,27.0,-4.519855053451033,0.0,3.0,0.5
100,-103.5,4.5,-60.04192624232848,0.0,2.5,1.0
101,-101.0,2.0,-80.7206415968,0.0,1.0,1.0
102,-119.5,20.5,-8.037206919005456,0.0,2.5,1.0
103,-101.0,2.0,-80.7206415968,0.0,0.0,1.0
104,-103.5,4.5,-60.04192624232848,0.0,1.5,1.0
105,-111.5,12.5,-26.701201873921615,0.0,0.5,1.0
106,-106.5,7.5,-22.39463790788416,0.0,0.5,1.0
107,-109.0,10.0,-41.913519756349025,0.0,0.5,1.0
108,-110.0,11.0,-41.67421774887355,0.0,2.5,1.0
109,-68.5,19.0,-12.238352591654769,0.0,4.0,0.5
110,-73.5,24.0,-4.987146105675315,0.0,4.5,0.5
111,-100.5,1.5,-89.1228,0.0,0.5,1.0
112,-78.5,29.0,-4.438682542123196,0.0,4.5,0.5
113,-109.0,10.0,-52.65570822011034,0.0,1.0,1.0
114,-68.5,19.0,-12.238352591654769,0.0,2.0,0.5
115,-102.0,3.0,-69.21687454715979,0.0,1.0,1.0
116,-30.0,30.0,-4.392852698652579,0.0,4.5,0.0
117,-101.0,2.0,-80.7206415968,0.0,1.0,1.0
118,-101.5,2.5,-74.23034392529775,0.0,0.0,1.0
119,-100.5,1.5,-89.1228,0.0,0.5,1.0
120,-102.5,3.5,-58.33967454715979,0.0,0.5,1.0
121,-113.0,14.0,-33.015388039873386,0.0,3.0,1.0
122,-111.0,12.0,-11.741636634035078,0.0,3.0,1.0
123,-67.0,17.5,-21.413300896486085,0.0,1.5,0.5
124,-65.0,15.5,-52.19642634932629,0.0,1.5,0.5
125,-111.0,12.0,-11.741636634035078,0.0,1.5,1.0
126,-109.5,10.5,-12.691178562531425,0.0,2.0,1.0
127,-107.0,8.0,-22.222317661644617,0.0,1.0,1.0
128,-104.0,5.0,-58.25694617744409,0.0,0.0,1.0
129,-104.5,5.5,-40.76256783912848,0.0,4.5,1.0
130,-114.5,15.5,-32.96289778959691,0.0,2.5,1.0
131,-103.5,4.5,-60.04192624232848,0.0,2.0,1.0
132,-105.5,6.5,-29.258800789488273,0.0,2.0,1.0
133,-110.5,11.5,-10.803377027698776,0.0,3.0,1.0
134,-108.5,9.5,-23.08077159319347,0.0,2.5,1.0
135,-106.0,7.0,-25.386116287529344,0.0,1.0,1.0
136,-68.5,19.0,-12.238352591654769,0.0,5.0,0.5
137,-108.5,9.5,-52.79071975634903,0.0,2.5,1.0
138,-101.5,2.5,-74.23034392529775,0.0,0.0,1.0
139,-111.5,12.5,-52.323428704124744,0.0,2.0,1.0
140,-102.5,3.5,-65.34419004520086,0.0,0.0,1.0
141,-106.5,7.5,-43.477607323696986,0.0,1.0,1.0
142,-116.5,17.5,-14.594967858352588,0.0,1.0,1.0
143,-104.5,5.5,-40.76256783912848,0.0,1.5,1.0
144,-113.0,14.0,-33.015388039873386,0.0,2.0,1.0
145,-100.0,1.0,-100.0,0.0,0.0,1.0
146,-102.5,3.5,-54.950985522097746,0.0,0.0,1.0
147,-79.5,30.0,-4.42058232224407,0.0,1.5,0.5
148,-65.0,15.5,-52.19642634932629,0.0,5.5,0.5
149,-105.5,6.5,-29.258800789488273,0.0,1.0,1.0
150,-114.0,15.0,-8.468759166198017,0.0,3.5,1.0
151,-110.0,11.0,-13.905823288362157,0.0,2.5,1.0
152,-104.5,5.5,-56.87812761644375,0.0,2.0,1.0
153,-107.5,8.5,-24.207200628770895,0.0,2.0,1.0
154,-68.0,18.5,-14.54913801488197,0.0,1.5,0.5
155,-107.5,8.5,-24.207200628770895,0.0,0.0,1.0
156,-107.5,8.5,-18.298872419772568,0.0,2.5,1.0
157,-66.5,17.5,-6.0487029727140795,0.5,0.5,0.5
158,-104.5,5.5,-40.76256783912848,0.0,1.0,1.0
159,-65.0,15.5,-52.19642634932629,0.0,4.0,0.5
160,-65.0,15.5,-52.19642634932629,0.0,1.0,0.5
161,-103.0,4.0,-62.35271166555568,0.0,1.0,1.0
162,-102.0,3.0,-69.21687454715979,0.0,2.0,1.0
163,-112.0,13.0,-52.294746443073386,0.0,0.0,1.0
164,-113.0,14.0,-17.752819092763065,0.0,0.0,1.0
165,-110.0,11.0,-11.868453698054852,0.0,1.0,1.0
166,-115.0,16.0,-9.286756664005951,0.0,2.5,1.0
167,-111.5,12.5,-9.345133405308086,0.0,1.0,1.0
168,-77.0,27.5,-4.491172792399672,0.0,7.0,0.5
169,-103.0,4.0,-62.35271166555568,0.0,0.5,1.0
170,-102.5,3.5,-65.34419004520086,0.0,0.5,1.0
171,-113.5,14.5,-26.525090368371128,0.0,3.5,1.0
172,-66.0,16.5,-32.91706794612629,0.0,6.0,0.5
173,-101.5,2.5,-69.8434415968,0.0,1.5,1.0
174,-65.0,15.5,-52.19642634932629,0.0,4.0,0.5
175,-102.0,3.0,-69.21687454715979,0.0,0.5,1.0
176,-107.5,8.5,-18.298872419772568,0.0,2.0,1.0
177,-103.5,4.5,-46.06483164200087,0.0,0.5,1.0
178,-107.0,8.0,-53.48469045659099,0.0,1.0,1.0
179,-65.5,16.0,-41.319226349326286,0.0,4.0,0.5
180,-106.0,7.0,-54.35480732369699,0.0,0.0,1.0
181,-100.5,1.5,-89.1228,0.0,0.5,1.0
182,-70.5,21.0,-7.186752430937391,0.0,4.5,0.5
183,-106.5,7.5,-35.7109676784111,0.0,1.5,1.0
184,-104.0,5.0,-58.25694617744409,0.0,2.5,1.0
185,-105.0,6.0,-46.00092761644375,0.0,2.0,1.0
