,learning_rewards,learning_steps,learning_discounted_rewards,learning_success,learning_collision,learning_fell_into_cliff
0,-100,1,-100.0,0,0,1
1,-120,21,-99.99999999999997,0,6,1
2,-30,30,-26.029962661171947,0,5,0
3,-118,19,-99.99999999999999,0,7,1
4,-30,30,-26.029962661171947,0,9,0
5,-111,12,-100.0,0,3,1
6,-126,27,-99.99999999999997,0,7,1
7,-30,30,-26.029962661171947,0,5,0
8,-125,26,-99.99999999999999,0,8,1
9,-30,30,-26.029962661171947,0,5,0
10,-127,28,-99.99999999999997,0,6,1
11,-104,5,-100.0,0,2,1
12,-30,30,-26.029962661171947,0,7,0
13,-30,30,-26.029962661171947,0,4,0
14,-30,30,-26.029962661171947,0,4,0
15,-101,2,-100.0,0,1,1
16,-30,30,-26.029962661171947,0,8,0
17,-30,30,-26.029962661171947,0,8,0
18,-30,30,-26.029962661171947,0,3,0
19,-30,30,-26.029962661171947,0,9,0
20,-30,30,-26.029962661171947,0,0,0
21,-30,30,-26.029962661171947,0,6,0
22,-124,25,-99.99999999999997,0,4,1
23,-30,30,-26.029962661171947,0,6,0
24,-104,5,-100.0,0,0,1
25,-30,30,-26.029962661171947,0,5,0
26,-124,25,-99.99999999999997,0,2,1
27,-30,30,-26.029962661171947,0,10,0
28,-30,30,-26.029962661171947,0,4,0
29,-30,30,-26.029962661171947,0,4,0
30,-100,1,-100.0,0,0,1
31,-30,30,-26.029962661171947,0,11,0
32,-113,14,-100.0,0,2,1
33,-30,30,-26.029962661171947,0,2,0
34,-102,3,-99.99999999999999,0,2,1
35,-30,30,-26.029962661171947,0,4,0
36,-30,30,-26.029962661171947,0,3,0
37,-123,24,-99.99999999999997,0,6,1
38,-30,30,-26.029962661171947,0,7,0
39,-123,24,-99.99999999999997,0,1,1
40,-30,30,-26.029962661171947,0,0,0
41,-30,30,-26.029962661171947,0,2,0
42,-104,5,-100.0,0,0,1
43,-30,30,-26.029962661171947,0,3,0
44,-30,30,-26.029962661171947,0,1,0
45,-30,30,-26.029962661171947,0,6,0
46,-30,30,-26.029962661171947,0,4,0
47,-30,30,-26.029962661171947,0,3,0
48,-30,30,-26.029962661171947,0,4,0
49,-126,27,-99.99999999999997,0,4,1
50,-30,30,-26.029962661171947,0,8,0
51,-30,30,-26.029962661171947,0,3,0
52,-30,30,-26.029962661171947,0,2,0
53,-30,30,-26.029962661171947,0,6,0
54,-108,9,-100.0,0,2,1
55,-30,30,-26.029962661171947,0,4,0
56,-30,30,-26.029962661171947,0,5,0
57,-30,30,-26.029962661171947,0,2,0
58,-30,30,-26.029962661171947,0,3,0
59,-30,30,-26.029962661171947,0,6,0
60,-30,30,-26.029962661171947,0,4,0
61,-30,30,-26.029962661171947,0,0,0
62,-30,30,-26.029962661171947,0,4,0
63,-30,30,-26.029962661171947,0,4,0
64,-30,30,-26.029962661171947,0,4,0
65,-30,30,-26.029962661171947,0,6,0
66,-30,30,-26.029962661171947,0,5,0
67,-30,30,-26.029962661171947,0,3,0
68,-30,30,-26.029962661171947,0,6,0
69,-107,8,-100.0,0,0,1
70,-30,30,-26.029962661171947,0,3,0
71,-30,30,-26.029962661171947,0,6,0
72,-30,30,-26.029962661171947,0,4,0
73,-118,19,-99.99999999999999,0,2,1
74,-127,28,-99.99999999999997,0,4,1
75,-129,30,-99.99999999999996,0,3,1
76,-30,30,-26.029962661171947,0,4,0
77,-30,30,-26.029962661171947,0,4,0
78,-102,3,-99.99999999999999,0,2,1
79,-30,30,-26.029962661171947,0,5,0
80,-30,30,-26.029962661171947,0,3,0
81,-100,1,-100.0,0,0,1
82,-128,29,-99.99999999999997,0,3,1
83,-30,30,-26.029962661171947,0,2,0
84,-108,9,-100.0,0,0,1
85,-30,30,-26.029962661171947,0,8,0
86,-30,30,-26.029962661171947,0,0,0
87,-30,30,-26.029962661171947,0,2,0
88,-104,5,-100.0,0,0,1
89,-30,30,-26.029962661171947,0,10,0
90,-30,30,-26.029962661171947,0,3,0
91,-28,29,-24.52807127963672,1,2,0
92,-30,30,-26.029962661171947,0,3,0
93,-30,30,-26.029962661171947,0,4,0
94,-30,30,-26.029962661171947,0,11,0
95,-28,29,-24.52807127963672,1,4,0
96,-30,30,-26.029962661171947,0,0,0
97,-30,30,-26.029962661171947,0,4,0
98,-128,29,-99.99999999999997,0,3,1
99,-103,4,-100.0,0,0,1
