,learning_rewards,learning_steps,learning_discounted_rewards,learning_success,learning_collision,learning_fell_into_cliff
0,-103.0,4.0,-54.46699004520086,0.0,2.0,1.0
1,-109.5,10.5,-12.691178562531425,0.0,3.5,1.0
2,-117.0,18.0,-5.955548405214861,0.0,4.0,1.0
3,-113.0,14.0,-33.015388039873386,0.0,3.0,1.0
4,-78.5,29.0,-4.438682542123196,0.0,9.0,0.5
5,-77.5,28.0,-4.469017007756982,0.0,7.0,0.5
6,-110.5,11.5,-26.886052145408087,0.0,3.5,1.0
7,-101.5,2.5,-74.23034392529775,0.0,0.5,1.0
8,-103.5,4.5,-46.06483164200087,0.0,1.5,1.0
9,-110.5,11.5,-15.544481716892133,0.0,0.5,1.0
10,-65.0,15.5,-52.19642634932629,0.0,3.5,0.5
11,-69.5,20.0,-9.07455396577004,0.0,4.5,0.5
12,-30.0,30.0,-4.392852698652579,0.0,8.5,0.0
13,-105.0,6.0,-30.68838009040173,0.0,0.5,1.0
14,-108.5,9.5,-17.343037747166782,0.0,2.5,1.0
15,-119.5,20.5,-5.486516494409834,0.0,4.0,1.0
16,-77.5,28.0,-4.469017007756982,0.0,8.0,0.5
17,-70.0,20.5,-8.009477295413964,0.0,2.0,0.5
18,-66.0,16.5,-32.91706794612629,0.0,1.5,0.5
19,-105.0,6.0,-30.68838009040173,0.0,3.0,1.0
20,-100.5,1.5,-89.1228,0.0,0.5,1.0
21,-101.0,2.0,-80.7206415968,0.0,0.0,1.0
22,-65.5,16.0,-41.319226349326286,0.0,4.0,0.5
23,-102.0,3.0,-69.21687454715979,0.0,1.0,1.0
24,-103.0,4.0,-62.35271166555568,0.0,0.0,1.0
25,-109.5,10.5,-41.77850822011034,0.0,2.5,1.0
26,-69.5,20.0,-9.07455396577004,0.0,4.5,0.5
27,-104.5,5.5,-36.58305559085343,0.0,1.0,1.0
28,-66.5,17.0,-26.426770274624033,0.0,1.0,0.5
29,-101.5,2.5,-69.8434415968,0.0,1.5,1.0
30,-101.5,2.5,-74.23034392529775,0.0,0.0,1.0
31,-65.5,16.0,-41.319226349326286,0.0,4.5,0.5
32,-115.0,16.0,-41.346955972917776,0.0,2.5,1.0
33,-110.0,11.0,-15.83740212214667,0.0,2.0,1.0
34,-71.5,22.0,-6.060323395359967,0.0,6.0,0.5
